SC Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrive_Date
SC.1,46,6,2,4,1,2,122223,10633,1940-08-15,1940-08-29
SC.2,63,9,0,5,0,0,177495,20943,1940-08-25,1940-09-10
SC.3,57,8,2,6,1,2,157962,16947,1940-09-02,1940-09-18
SC.4,43,11,0,0,0,0,82436,0,1940-09-10,1940-09-26
SC.5,52,9,0,0,0,0,137380,0,1940-09-19,1940-10-04
SC.6,45,6,2,4,0,2,119904,13106,1940-09-27,1940-10-12
SC.7,43,6,4,20,0,4,138194,79592,1940-10-05,1940-10-21
SC.8,56,14,0,0,0,0,142906,0,1940-10-15,1940-10-31
SC.9,39,8,0,0,0,0,105830,0,1940-10-24,1940-11-09
SC.10,17,3,0,0,0,0,47811,0,1940-10-29,1940-11-13
SC.11,44,6,0,7,0,0,119017,24601,1940-11-09,1940-11-26
SC.12,23,6,0,0,0,0,54750,0,1940-11-13,1940-11-29
SC.13,49,6,2,1,0,1,144399,5652,1940-11-22,1940-12-07
SC.14,22,0,0,0,0,0,83060,0,1940-11-30,1940-12-17
SC.15,29,2,2,2,0,1,105892,6543,1940-12-08,1940-12-23
SC.16,22,7,0,0,0,0,69515,0,1940-12-15,1940-12-31
SC.17,29,8,0,0,0,0,103298,0,1940-12-23,1941-01-08
SC.18,36,6,0,0,0,0,112259,0,1941-01-02,1941-01-19
SC.19,39,11,3,6,0,3,122941,33723,1941-01-12,1941-02-02
SC.20,55,7,2,3,0,1,183367,11406,1941-01-22,1941-02-08
SC.21,47,9,2,1,0,1,158679,4517,1941-01-31,1941-02-18
SC.22,41,6,0,0,0,0,130894,0,1941-02-08,1941-02-28
SC.23,52,13,0,0,0,0,164637,0,1941-02-18,1941-03-09
SC.24,36,8,1,1,0,1,113573,5759,1941-02-28,1941-03-19
SC.25,49,10,1,1,0,1,168101,6695,1941-03-10,1941-03-29
SC.26,36,11,1,10,0,1,125479,51969,1941-03-20,1941-04-08
SC.27,40,10,0,0,0,0,137411,0,1941-03-30,1941-04-18
SC.28,48,14,0,0,0,0,162939,0,1941-04-09,1941-04-28
SC.29,64,18,0,0,0,0,190029,0,1941-04-19,1941-05-08
SC.30,49,21,0,2,1,0,136843,15719,1941-04-29,1941-05-20
SC.31,56,21,0,0,0,0,142227,0,1941-05-09,1941-05-30
SC.32,52,19,0,0,0,0,154927,0,1941-05-19,1941-06-07
SC.33,68,19,0,0,0,0,203890,0,1941-06-01,1941-06-21
SC.34,57,22,0,0,0,0,133051,0,1941-06-10,1941-06-29
SC.35,55,17,0,0,0,0,151018,0,1941-06-20,1941-07-09
SC.36,68,22,0,0,0,0,182248,0,1941-07-01,1941-07-19
SC.37,58,16,0,0,0,0,162472,0,1941-07-12,1941-07-28
SC.38,48,18,0,0,0,0,132403,0,1941-07-22,1941-08-08
SC.39,57,22,0,0,0,0,155576,0,1941-08-01,1941-08-19
SC.40,73,21,2,0,0,0,208165,0,1941-08-10,1941-08-29
SC.41,97,18,1,1,0,1,276143,2000,1941-08-24,1941-09-11
SC.42,101,29,1,16,0,1,271397,68243,1941-08-30,1941-09-20
SC.43,69,13,0,0,0,0,252649,0,1941-09-05,1941-09-20
SC.44,82,23,0,5,1,0,230051,26578,1941-09-11,1941-09-30
SC.45,91,22,0,0,0,0,279377,0,1941-09-18,1941-10-04
SC.46,81,15,2,0,0,0,284917,0,1941-09-24,1941-10-10
SC.47,83,14,0,0,0,0,297948,0,1941-09-29,1941-10-20
SC.48,79,26,0,12,3,0,254203,51465,1941-10-05,1941-10-22
SC.49,55,16,1,0,0,0,178075,0,1941-10-11,1941-10-27
SC.50,63,16,1,1,0,1,244065,5120,1941-10-17,1941-11-04
SC.51,61,20,0,0,0,0,214450,0,1941-10-23,1941-11-09
SC.52,46,11,0,4,0,0,161715,17064,1941-10-29,1941-11-05
SC.53,65,17,1,2,0,1,245493,8538,1941-11-04,1941-11-24
SC.54,93,20,0,0,0,0,352028,0,1941-11-10,1941-11-26
SC.55,67,19,0,0,0,0,226700,0,1941-11-16,1941-12-05
SC.56,67,20,1,1,0,1,208323,4016,1941-11-22,1941-12-10
SC.57,57,18,0,3,0,0,195397,14971,1941-11-28,1941-12-15
SC.58,72,16,0,0,0,0,256931,0,1941-12-04,1941-12-21
SC.59,56,16,0,0,0,0,172257,0,1941-12-10,1941-12-27
SC.60,37,14,0,0,0,0,94539,0,1941-12-16,1941-12-31
SC.61,34,16,0,0,0,0,83586,0,1941-12-21,1942-01-07
SC.62,49,17,1,1,0,1,141449,3657,1941-12-27,1942-01-12
SC.63,45,11,2,2,0,2,166242,10122,1942-01-03,1942-01-13
SC.64,47,17,2,1,0,1,146689,5427,1942-01-09,1942-01-23
SC.65,56,16,0,0,0,0,195271,0,1942-01-17,1942-02-04
SC.66,54,17,1,1,0,1,190163,4887,1942-01-23,1942-02-09
SC.67,41,12,0,2,1,0,128808,4953,1942-01-30,1942-02-15
SC.68,35,15,0,0,0,0,95717,0,1942-02-04,1942-02-20
SC.69,42,15,0,0,0,0,119477,0,1942-02-10,1942-02-27
SC.70,44,12,0,0,0,0,147763,0,1942-02-15,1942-03-07
SC.71,39,15,0,0,0,0,121384,0,1942-02-22,1942-03-10
SC.72,34,12,0,0,0,0,102576,0,1942-02-28,1942-03-17
SC.73,47,14,0,0,0,0,146207,0,1942-03-06,1942-03-24
SC.74,44,9,0,0,0,0,161365,0,1942-03-12,1942-03-28
SC.75,43,13,0,0,0,0,157305,0,1942-03-18,1942-04-03
SC.76,40,12,0,0,0,0,106924,0,1942-03-24,1942-04-11
SC.77,69,17,0,0,0,0,236613,0,1942-03-30,1942-04-16
SC.78,29,10,0,0,0,0,85815,0,1942-04-05,1942-04-22
SC.79,80,19,0,0,0,0,290535,0,1942-04-11,1942-04-27
SC.80,42,11,0,0,0,0,162856,0,1942-04-17,1942-05-03
SC.81,89,19,0,0,0,0,342036,0,1942-04-23,1942-05-09
SC.82,43,11,0,0,0,0,142056,0,1942-04-30,1942-05-16
SC.83,75,12,1,0,0,0,312371,0,1942-05-07,1942-05-23
SC.84,62,16,0,0,0,0,194826,0,1942-05-14,1942-05-29
SC.85,79,17,0,0,0,0,218178,0,1942-05-29,1942-06-12
SC.86,50,13,0,0,0,0,131142,0,1942-06-05,1942-06-20
SC.87,56,14,0,0,0,0,161151,0,1942-06-12,1942-06-27
SC.88,52,14,0,0,0,0,160273,0,1942-06-19,1942-07-04
SC.89,66,14,0,0,0,0,217626,0,1942-06-26,1942-07-11
SC.90,46,12,0,0,0,0,139509,0,1942-07-03,1942-07-16
SC.91,52,15,0,0,0,0,150695,0,1942-07-10,1942-07-24
SC.92,55,11,0,0,0,0,223376,0,1942-07-17,1942-07-31
SC.93,58,13,0,0,0,0,164575,0,1942-07-24,1942-08-07
SC.94,51,16,0,11,0,0,148785,53421,1942-07-31,1942-08-13
SC.95,60,19,1,2,0,1,160442,8245,1942-08-04,1942-08-19
SC.96,43,14,0,0,0,0,122306,0,1942-08-11,1942-08-27
SC.97,80,16,1,2,0,0,296113,10288,1942-08-22,1942-09-07
SC.98,81,12,2,0,0,0,317620,0,1942-08-29,1942-09-13
SC.99,76,17,0,0,0,0,291786,0,1942-09-05,1942-09-20
SC.100,47,21,3,5,0,3,128892,26426,1942-09-12,1942-09-28
SC.101,49,17,1,1,0,1,142788,2254,1942-09-19,1942-10-05
SC.102,56,16,0,0,0,0,184315,0,1942-09-19,1942-10-06
SC.103,86,26,1,1,0,1,276696,6098,1942-09-26,1942-10-14
SC.104,75,18,0,8,0,0,254868,43970,1942-10-03,1942-10-21
SC.105,81,19,1,0,0,0,261510,0,1942-10-11,1942-10-31
SC.106,51,19,0,0,0,0,161328,0,1942-10-16,1942-11-05
SC.107,67,22,0,15,0,0,218144,82820,1942-10-24,1942-11-10
SC.108,70,24,0,0,0,0,225224,0,1942-11-01,1942-11-19
SC.109,69,21,0,1,0,0,216296,9132,1942-11-09,1942-11-30
SC.110,64,20,0,1,0,0,208921,5170,1942-11-17,1942-12-06
SC.111,64,19,0,0,0,0,218974,0,1942-11-25,1942-12-17
SC.112,88,25,0,0,0,0,310284,0,1942-12-04,1942-12-25
SC.113,76,14,0,0,0,0,317787,0,1942-12-12,1943-01-02
SC.114,53,18,0,0,0,0,190381,0,1942-12-19,1943-01-07
SC.115,50,16,1,1,0,1,182316,7174,1942-12-27,1943-01-15
SC.116,84,22,0,0,0,0,322273,0,1943-01-04,1943-01-29
SC.117,65,20,2,2,0,2,238583,8668,1943-01-12,1943-02-03
SC.118,86,25,0,11,0,0,324736,59765,1943-01-24,1943-02-12
SC.119,82,22,0,0,0,0,288490,0,1943-02-03,1943-02-22
SC.120,87,22,0,0,0,0,341335,0,1943-02-13,1943-03-05
SC.121,92,23,5,12,0,5,355212,55661,1943-02-23,1943-03-14
SC.122,83,18,1,9,0,1,300323,53094,1943-03-05,1943-03-24
SC.123,77,27,0,0,0,0,247887,0,1943-03-14,1943-04-03
SC.124,54,16,0,0,0,0,206976,0,1943-03-20,1943-04-09
SC.125,55,15,0,0,0,0,193400,0,1943-03-31,1943-04-15
SC.126,55,15,0,0,0,0,213345,0,1943-04-08,1943-04-23
SC.127,82,26,0,0,0,0,281116,0,1943-04-16,1943-05-03
SC.128,45,13,0,0,0,0,174021,0,1943-04-25,1943-05-13
SC.129,45,20,0,2,0,0,124126,7627,1943-05-02,1943-05-21
SC.130,57,20,0,0,0,0,208361,0,1943-05-11,1943-05-26
SC.131,54,26,0,0,0,0,143379,0,1943-05-18,1943-05-31
SC.132,68,22,0,0,0,0,248804,0,1943-05-26,1943-06-11
SC.133,72,21,0,0,0,0,271883,0,1943-06-05,1943-06-19
SC.134,93,18,0,0,0,0,403022,0,1943-06-16,1943-07-01
SC.135,92,22,0,0,0,0,362989,0,1943-06-27,1943-07-11
SC.136,62,19,0,0,0,0,243053,0,1943-07-08,1943-07-23
SC.137,57,15,1,0,0,0,212597,0,1943-07-19,1943-08-03
SC.138,63,15,0,0,0,0,250445,0,1943-07-30,1943-08-12
SC.139,74,20,0,0,0,0,347166,0,1943-08-09,1943-08-24
SC.140,90,16,0,0,0,0,368085,0,1943-08-21,1943-09-05
SC.141,94,23,0,0,0,0,406296,0,1943-09-03,1943-09-17
SC.142,70,19,0,0,0,0,224823,0,1943-09-15,1943-09-29
SC.143,60,25,0,2,1,0,212260,7532,1943-09-28,1943-10-12
SC.144,53,17,0,0,0,0,190372,0,1943-10-11,1943-10-27
SC.145,50,24,0,0,0,0,179081,0,1943-10-24,1943-11-07
SC.146,64,31,0,0,0,0,180045,0,1943-11-06,1943-11-22
SC.147,70,20,0,0,0,0,254124,0,1943-11-19,1943-12-04
SC.148,66,29,0,0,0,0,231661,0,1943-12-02,1943-12-16
SC.149,47,14,0,0,0,0,174680,0,1943-12-15,1943-12-30
SC.150,38,19,0,0,0,0,112318,0,1943-12-30,1944-01-14
SC.151,51,22,0,0,0,0,150770,0,1944-01-14,1944-01-31
SC.152,45,17,0,0,0,0,159557,0,1944-01-29,1944-02-15
SC.153,50,20,0,0,0,0,115921,0,1944-02-13,1944-03-02
SC.154,62,21,0,0,0,0,191716,0,1944-02-28,1944-03-15
SC.155,90,21,0,0,0,0,272484,0,1944-03-14,1944-03-29
SC.156,71,14,0,2,0,0,245904,9777,1944-03-29,1944-04-13
SC.157,78,16,1,1,0,1,261438,6255,1944-04-17,1944-05-01
SC.158,87,15,0,0,0,0,408554,0,1944-10-04,1944-10-18
SC.159,81,18,0,1,1,0,345198,1300,1944-10-18,1944-11-02
SC.160,58,15,0,0,0,0,255333,0,1944-11-02,1944-11-17
SC.161,68,23,0,0,0,0,274580,0,1944-11-17,1944-12-04
SC.162,83,25,0,0,0,0,331328,0,1944-12-02,1944-12-17
SC.163,65,17,0,0,0,0,261423,0,1944-12-17,1944-12-31
SC.164,57,15,0,0,0,0,242633,0,1945-01-01,1945-01-18
SC.165,53,23,1,0,0,0,191084,0,1945-01-16,1945-01-31
SC.166,37,11,0,0,0,0,156534,0,1945-01-31,1945-02-13
SC.167,49,13,0,2,0,0,216566,7740,1945-02-16,1945-03-02
SC.168,39,19,0,0,0,0,116167,0,1945-02-25,1945-03-13
SC.169,39,21,0,0,0,0,134248,0,1945-03-07,1945-03-21
SC.170,37,11,0,0,0,0,133559,0,1945-03-17,1945-03-31
SC.171,35,15,1,0,0,0,149454,0,1945-03-27,1945-04-10
SC.172,49,20,0,0,0,0,184744,0,1945-04-06,1945-04-22
SC.173,29,10,0,0,0,0,103615,0,1945-04-18,1945-05-04
SC.174,48,18,2,0,0,0,192084,0,1945-04-28,1945-05-14
SC.175,44,16,0,0,0,0,170242,0,1945-05-07,1945-05-21
SC.176,41,19,0,0,0,0,156232,0,1945-05-16,1945-05-29
SC.177,43,12,0,0,0,0,210127,0,1945-05-26,1945-06-08
